order,trip_id,stop_sequence,stop_id,stop_lat,stop_lon,arrival_previsto,arrival_real,atraso_min,matched_distance_m
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,73,1005O00020S0,-22.90723,-43.18272,2019-01-25 09:57:33,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,74,1005O00232S0,-22.90879,-43.18819,2019-01-25 09:58:56,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,75,1005O00234C0,-22.908392,-43.189263,2019-01-25 09:59:17,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,0,4124O00046C0,-22.901318,-43.347259,2019-01-25 08:59:01,2019-01-25 10:27:59,88.96666666666667,94.19401061357922
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,1,4124O00031C0,-22.90189,-43.34779,2019-01-25 08:59:12,2019-01-25 10:28:59,89.78333333333333,177.88018375773947
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,2,4124O00058C0,-22.900466,-43.349828,2019-01-25 08:59:52,2019-01-25 10:49:59,110.11666666666666,243.45632830602412
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,3,4124O00033C0,-22.89911,-43.35167,2019-01-25 09:00:26,2019-01-25 10:50:59,110.55,203.11203425334466
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,4,4124O00004C0,-22.898012,-43.352228,2019-01-25 09:00:53,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,5,4124O00006C0,-22.89818,-43.350146,2019-01-25 09:01:37,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,6,4124O00008C0,-22.896967,-43.348397,2019-01-25 09:02:13,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,7,4124O00016C0,-22.8954,-43.34742,2019-01-25 09:02:41,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,8,4124O00017C0,-22.89369,-43.34688,2019-01-25 09:03:09,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,9,4124O00050C0,-22.890381,-43.34553,2019-01-25 09:04:10,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,10,3078O00007C0,-22.88842,-43.34439,2019-01-25 09:04:45,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,11,3078O00008C0,-22.88717,-43.34339,2019-01-25 09:05:09,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,12,3078O00009C0,-22.88579,-43.34209,2019-01-25 09:05:38,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,13,3082O00002C0,-22.88283,-43.34025,2019-01-25 09:06:55,2019-01-25 10:54:59,108.06666666666666,19.651778402386363
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,14,3082O00018C0,-22.882534,-43.33687,2019-01-25 09:07:44,2019-01-25 10:55:59,108.25,127.55333968147599
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,15,3082O00051C0,-22.882382,-43.333901,2019-01-25 09:08:27,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,16,3082O00019C0,-22.882138,-43.331007,2019-01-25 09:09:15,2019-01-25 10:56:59,107.73333333333333,202.83548224654058
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,17,3082O00004C1,-22.88256,-43.32373,2019-01-25 09:10:56,2019-01-25 10:57:59,107.05,217.08477197821173
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,18,3082O00005C2,-22.88284,-43.3224,2019-01-25 09:11:16,2019-01-25 11:00:29,109.21666666666667,210.66631828881154
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,19,3079O00001C2,-22.8835,-43.32058,2019-01-25 09:11:44,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,20,3079O00002C2,-22.88445,-43.31751,2019-01-25 09:12:31,2019-01-25 11:01:59,109.46666666666667,241.0973153950061
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,21,3079O00041C2,-22.884744,-43.316116,2019-01-25 09:12:52,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,23,3079O00040C2,-22.88498,-43.31429,2019-01-25 09:13:18,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,24,3079O00042C2,-22.885103,-43.311568,2019-01-25 09:13:57,2019-01-25 11:03:59,110.03333333333333,214.9489222950042
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,25,3069O00057C2,-22.88562,-43.30967,2019-01-25 09:14:27,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,26,3069O00058C2,-22.88672,-43.306443,2019-01-25 09:15:16,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,27,3069O00003C2,-22.88646,-43.30281,2019-01-25 09:16:10,2019-01-25 11:05:59,109.81666666666666,243.78738445525266
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,28,3070O00001C2,-22.88548,-43.30031,2019-01-25 09:16:51,2019-01-25 11:06:29,109.63333333333334,16.889143015548363
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,29,3071O00033C2,-22.884601,-43.297845,2019-01-25 09:17:30,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,30,3071O00004C2,-22.88341,-43.29648,2019-01-25 09:17:57,2019-01-25 11:07:59,110.03333333333333,68.9455387329084
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,31,3071O00005C2,-22.88182,-43.29431,2019-01-25 09:18:38,2019-01-25 11:08:59,110.35,95.72846781436454
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,32,3071O00006C2,-22.8842,-43.29133,2019-01-25 09:19:42,2019-01-25 11:09:29,109.78333333333333,88.15329960378664
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,33,3066O00003C2,-22.885668,-43.290084,2019-01-25 09:20:16,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,34,3064O00002C0,-22.88744,-43.2864,2019-01-25 09:21:11,2019-01-25 11:10:59,109.8,94.54891705708884
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,35,3065O00001C0,-22.887738,-43.283511,2019-01-25 09:21:47,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,36,3065O00003C0,-22.887155,-43.280679,2019-01-25 09:22:33,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,37,3065O00004C0,-22.88591,-43.27898,2019-01-25 09:23:06,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,38,3065O00005C0,-22.88441,-43.27719,2019-01-25 09:23:41,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,39,3053O00006C0,-22.8822,-43.2754,2019-01-25 09:24:24,2019-01-25 11:14:59,110.58333333333333,49.614028719697465
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,40,3053O00007C0,-22.881083,-43.272751,2019-01-25 09:25:08,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,41,3053O00008C0,-22.878863,-43.265859,2019-01-25 09:26:54,2019-01-25 11:15:59,109.08333333333333,89.72078952543569
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,42,3052O00001C0,-22.87833,-43.26397,2019-01-25 09:27:26,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,43,3052O00002C1,-22.878337,-43.261822,2019-01-25 09:27:57,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,44,3052O00003C0,-22.880394,-43.259223,2019-01-25 09:28:52,2019-01-25 11:17:59,109.11666666666666,91.56022628629599
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,45,3155O00001C0,-22.882581,-43.254845,2019-01-25 09:30:04,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,46,3155O00002C0,-22.88517,-43.25266,2019-01-25 09:30:55,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,47,3155O00003C0,-22.886927,-43.250822,2019-01-25 09:31:33,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,48,1012O00011C0,-22.890046,-43.244457,2019-01-25 09:33:33,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,49,1012O00012C0,-22.890765,-43.242335,2019-01-25 09:34:04,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,50,1012O00013C0,-22.891768,-43.240794,2019-01-25 09:34:28,2019-01-25 11:23:59,109.51666666666667,66.94288303075666
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,51,1012O00027C0,-22.89495,-43.24279,2019-01-25 09:35:44,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,52,vphs,-22.897995,-43.241305,2019-01-25 09:36:55,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,53,1011O00001C0,-22.90138,-43.241176,2019-01-25 09:37:55,2019-01-25 11:26:29,108.56666666666666,36.88896002694437
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,54,3057O00006C0,-22.90591,-43.23964,2019-01-25 09:39:08,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,56,1011O00002C0,-22.907884,-43.236917,2019-01-25 09:39:58,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,57,2035O00042C0,-22.908756,-43.234655,2019-01-25 09:40:30,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,58,1010O00038C0,-22.908374,-43.231002,2019-01-25 09:41:27,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,59,1010O00077C0,-22.90931,-43.22631,2019-01-25 09:42:48,2019-01-25 11:29:29,106.68333333333334,162.24126629413115
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,60,1010O00103C0,-22.909238,-43.222916,2019-01-25 09:43:38,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,61,1010O00040C0,-22.906357,-43.220639,2019-01-25 09:44:35,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,62,1010O00107C0,-22.904907,-43.218901,2019-01-25 09:45:21,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,63,1010O00079C0,-22.90411,-43.21611,2019-01-25 09:46:06,2019-01-25 11:33:59,107.88333333333334,233.1328907822977
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,64,1010O00080C0,-22.90341,-43.21449,2019-01-25 09:46:32,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,65,1010O00081C0,-22.902025,-43.210979,2019-01-25 09:47:27,2019-01-25 11:34:29,107.03333333333333,15.566038055278467
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,66,2032O00028C0,-22.908498,-43.209965,2019-01-25 09:49:13,2019-01-25 11:36:29,107.26666666666667,60.78148989717168
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,67,1008O00022S0,-22.91013,-43.205583,2019-01-25 09:50:47,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,68,1008O00005S0,-22.908619,-43.201048,2019-01-25 09:51:56,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,69,1005O00060C0,-22.90623,-43.193405,2019-01-25 09:53:53,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,70,1005O00359S0,-22.905052,-43.189782,2019-01-25 09:54:48,2019-01-25 11:44:59,110.18333333333334,137.1950381431416
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,71,1005O00375S2,-22.903332,-43.184461,2019-01-25 09:56:09,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,72,1005O00197C0,-22.905593,-43.182786,2019-01-25 09:57:02,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,73,1005O00020S0,-22.90723,-43.18272,2019-01-25 09:57:38,,,
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,74,1005O00232S0,-22.90879,-43.18819,2019-01-25 09:59:01,,,
