order,trip_id,stop_index,stop_lat,stop_lon,gps_lat,gps_lon,gps_datetime,stop_time,dist_m,time_diff_s
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,67,-22.90623,-43.193405,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:53:48,4918.280319273623,-3292.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,68,-22.905052,-43.189782,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:54:43,5269.850407578501,-3347.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,69,-22.903332,-43.184461,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:56:04,5796.06635376572,-3428.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,70,-22.905593,-43.182786,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:56:57,5988.740231899653,-3481.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,71,-22.90723,-43.18272,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:57:33,6017.503425924305,-3517.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,72,-22.90879,-43.18819,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:58:56,5491.642293238359,-3600.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,0,-22.901318,-43.347259,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 08:59:01,16204.420509434964,0.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,1,-22.90189,-43.34779,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 08:59:12,16255.67811788085,-11.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,2,-22.900466,-43.349828,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 08:59:52,16472.197739724674,-51.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,3,-22.89911,-43.35167,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:00:26,16669.50754595803,-85.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,4,-22.898012,-43.352228,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:00:53,16734.73737363509,-112.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,5,-22.89818,-43.350146,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:01:37,16520.686091594558,-156.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,6,-22.896967,-43.348397,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:02:13,16352.142520760217,-192.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,7,-22.8954,-43.34742,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:02:41,16267.234763662016,-220.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,8,-22.89369,-43.34688,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:03:09,16230.528329239603,-248.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,9,-22.890381,-43.34553,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:04:10,16135.146341902042,-309.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,10,-22.88842,-43.34439,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:04:45,16048.402459993362,-344.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,11,-22.88717,-43.34339,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:05:09,15967.172557899064,-368.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,12,-22.88579,-43.34209,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:05:38,15859.370956234954,-397.0
